tt0000005|1|nm0443482|actor|\N|["Blacksmith"]
tt0000005|2|nm0653042|actor|\N|["Assistant"]
tt0000007|2|nm0183947|actor|\N|\N
tt0000009|1|nm0063086|actress|\N|["Miss Geraldine Holbrook (Miss Jerry)"]
tt0000009|4|nm0085156|director|\N|\N
tt0000011|1|nm3692297|actor|\N|["Acrobats"]
tt0000014|1|nm0166380|actor|\N|["The Gardener"]
tt0000014|2|nm0244989|actor|\N|["The Boy"]
tt0000017|1|nm3691272|actor|\N|["The boy"]
tt0000017|2|nm3692829|actress|\N|["The girl"]
tt0000018|1|nm3692071|actor|\N|["The Boxer"]
tt0000026|1|nm2350007|actor|\N|["Valet"]
tt0000028|1|nm2350838|self|\N|["Self"]
tt0000029|3|nm2350838|self|\N|["Self"]
tt0000038|1|nm2960633|self|\N|["Self - First baseman"]
tt0000050|1|nm3029234|self|\N|["Self"]
tt0000121|2|nm0780534|actress|\N|["The Girl"]
tt0000121|4|nm0609678|director|\N|\N
tt0000165|1|nm0024876|actor|\N|\N
tt0000165|4|nm0556371|actor|\N|\N
tt0000165|5|nm0083196|cinematographer|\N|\N
tt0000165|6|nm0563758|actor|\N|\N
tt0000174|2|nm1024447|actor|\N|["Sticker"]
tt0000190|2|nm1024447|actor|\N|["Man with Broom"]